dalil,isu
" وَمَاذَا عَلَيْهِمْ لَوْ ءَامَنُوا۟ بِٱللَّهِ وَٱلْيَوْمِ ٱلْـَٔاخِرِ وَأَنفَقُوا۟ مِمَّا رَزَقَهُمُ ٱللَّهُ ۚ وَكَانَ ٱللَّهُ بِهِمْ عَلِيمًا 
 Apa ruginya bagi mereka seandainya mereka beriman kepada Allah dan hari Akhir serta menginfakkan sebagian rezeki yang telah dianugerahkan Allah kepada mereka? Allah adalah Maha Mengetahui (keadaan) mereka. 
[Q.S. An-Nisa (4) : 39]", Apa ruginya bagi mereka seandainya mereka beriman kepada Allah dan hari Akhir serta menginfakkan sebagian rezeki yang telah dianugerahkan Allah kepada mereka? Allah adalah Maha Mengetahui (keadaan) mereka. 
" إِنَّ ٱللَّهَ لَا يَظْلِمُ مِثْقَالَ ذَرَّةٍ ۖ وَإِن تَكُ حَسَنَةً يُضَـٰعِفْهَا وَيُؤْتِ مِن لَّدُنْهُ أَجْرًا عَظِيمًا 
 Sesungguhnya Allah tidak akan menzalimi (seseorang) walaupun sebesar zarah. Jika (sesuatu yang sebesar zarah) itu berupa kebaikan, niscaya Allah akan melipatgandakannya dan memberikan pahala yang besar dari sisi-Nya. 
[Q.S. An-Nisa (4) : 40]"," Sesungguhnya Allah tidak akan menzalimi (seseorang) walaupun sebesar zarah. Jika (sesuatu yang sebesar zarah) itu berupa kebaikan, niscaya Allah akan melipatgandakannya dan memberikan pahala yang besar dari sisi-Nya. "
" فَكَيْفَ إِذَا جِئْنَا مِن كُلِّ أُمَّةٍۭ بِشَهِيدٍ وَجِئْنَا بِكَ عَلَىٰ هَـٰٓؤُلَآءِ شَهِيدًا 
 Bagaimanakah (keadaan manusia kelak pada hari Kiamat) jika Kami mendatangkan seorang saksi (rasul) dari setiap umat dan Kami mendatangkan engkau (Nabi Muhammad) sebagai saksi atas mereka? 
[Q.S. An-Nisa (4) : 41]", Bagaimanakah (keadaan manusia kelak pada hari Kiamat) jika Kami mendatangkan seorang saksi (rasul) dari setiap umat dan Kami mendatangkan engkau (Nabi Muhammad) sebagai saksi atas mereka? 
" يَوْمَئِذٍ يَوَدُّ ٱلَّذِينَ كَفَرُوا۟ وَعَصَوُا۟ ٱلرَّسُولَ لَوْ تُسَوَّىٰ بِهِمُ ٱلْأَرْضُ وَلَا يَكْتُمُونَ ٱللَّهَ حَدِيثًا 
 Pada hari itu orang-orang yang kufur dan mendurhakai Rasul (Nabi Muhammad) berharap seandainya mereka diratakan dengan tanah (dikubur atau hancur luluh menjadi tanah), padahal mereka tidak dapat menyembunyikan suatu kejadian pun dari Allah. 
[Q.S. An-Nisa (4) : 42]"," Pada hari itu orang-orang yang kufur dan mendurhakai Rasul (Nabi Muhammad) berharap seandainya mereka diratakan dengan tanah (dikubur atau hancur luluh menjadi tanah), padahal mereka tidak dapat menyembunyikan suatu kejadian pun dari Allah. "
" يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَقْرَبُوا۟ ٱلصَّلَوٰةَ وَأَنتُمْ سُكَـٰرَىٰ حَتَّىٰ تَعْلَمُوا۟ مَا تَقُولُونَ وَلَا جُنُبًا إِلَّا عَابِرِى سَبِيلٍ حَتَّىٰ تَغْتَسِلُوا۟ ۚ وَإِن كُنتُم مَّرْضَىٰٓ أَوْ عَلَىٰ سَفَرٍ أَوْ جَآءَ أَحَدٌ مِّنكُم مِّنَ ٱلْغَآئِطِ أَوْ لَـٰمَسْتُمُ ٱلنِّسَآءَ فَلَمْ تَجِدُوا۟ مَآءً فَتَيَمَّمُوا۟ صَعِيدًا طَيِّبًا فَٱمْسَحُوا۟ بِوُجُوهِكُمْ وَأَيْدِيكُمْ ۗ إِنَّ ٱللَّهَ كَانَ عَفُوًّا غَفُورًا 
 Wahai orang-orang yang beriman, janganlah mendekati salat, sedangkan kamu dalam keadaan mabuk sampai kamu sadar akan apa yang kamu ucapkan dan jangan (pula menghampiri masjid ketika kamu) dalam keadaan junub, kecuali sekadar berlalu (saja) sehingga kamu mandi (junub). Jika kamu sakit, sedang dalam perjalanan, salah seorang di antara kamu kembali dari tempat buang air, atau kamu telah menyentuh perempuan,[^156] sedangkan kamu tidak mendapati air, maka bertayamumlah kamu dengan debu yang baik (suci). Usaplah wajah dan tanganmu (dengan debu itu). Sesungguhnya Allah Maha Pemaaf lagi Maha Pengampun.  [^156]: Menurut jumhur, kata menyentuh pada ayat ini adalah bersentuhan kulit, sedangkan sebagian mufasir mengartikannya sebagai berhubungan suami istri. 
[Q.S. An-Nisa (4) : 43]"," Wahai orang-orang yang beriman, janganlah mendekati salat, sedangkan kamu dalam keadaan mabuk sampai kamu sadar akan apa yang kamu ucapkan dan jangan (pula menghampiri masjid ketika kamu) dalam keadaan junub, kecuali sekadar berlalu (saja) sehingga kamu mandi (junub). Jika kamu sakit, sedang dalam perjalanan, salah seorang di antara kamu kembali dari tempat buang air, atau kamu telah menyentuh perempuan,[^156] sedangkan kamu tidak mendapati air, maka bertayamumlah kamu dengan debu yang baik (suci). Usaplah wajah dan tanganmu (dengan debu itu). Sesungguhnya Allah Maha Pemaaf lagi Maha Pengampun.  [^156]: Menurut jumhur, kata menyentuh pada ayat ini adalah bersentuhan kulit, sedangkan sebagian mufasir mengartikannya sebagai berhubungan suami istri. "
" أَلَمْ تَرَ إِلَى ٱلَّذِينَ أُوتُوا۟ نَصِيبًا مِّنَ ٱلْكِتَـٰبِ يَشْتَرُونَ ٱلضَّلَـٰلَةَ وَيُرِيدُونَ أَن تَضِلُّوا۟ ٱلسَّبِيلَ 
 Tidakkah kamu perhatikan orang-orang yang telah diberi bagian (pengetahuan) dari Kitab (Taurat)? Mereka membeli kesesatan dan menghendaki agar kamu tersesat dari jalan (yang benar). 
[Q.S. An-Nisa (4) : 44]", Tidakkah kamu perhatikan orang-orang yang telah diberi bagian (pengetahuan) dari Kitab (Taurat)? Mereka membeli kesesatan dan menghendaki agar kamu tersesat dari jalan (yang benar). 
" وَٱللَّهُ أَعْلَمُ بِأَعْدَآئِكُمْ ۚ وَكَفَىٰ بِٱللَّهِ وَلِيًّا وَكَفَىٰ بِٱللَّهِ نَصِيرًا 
 Allah lebih tahu (daripada kamu) tentang musuh-musuhmu. Cukuplah Allah menjadi pelindung dan cukuplah Allah menjadi penolong (kamu). 
[Q.S. An-Nisa (4) : 45]", Allah lebih tahu (daripada kamu) tentang musuh-musuhmu. Cukuplah Allah menjadi pelindung dan cukuplah Allah menjadi penolong (kamu). 
" مِّنَ ٱلَّذِينَ هَادُوا۟ يُحَرِّفُونَ ٱلْكَلِمَ عَن مَّوَاضِعِهِۦ وَيَقُولُونَ سَمِعْنَا وَعَصَيْنَا وَٱسْمَعْ غَيْرَ مُسْمَعٍ وَرَٰعِنَا لَيًّۢا بِأَلْسِنَتِهِمْ وَطَعْنًا فِى ٱلدِّينِ ۚ وَلَوْ أَنَّهُمْ قَالُوا۟ سَمِعْنَا وَأَطَعْنَا وَٱسْمَعْ وَٱنظُرْنَا لَكَانَ خَيْرًا لَّهُمْ وَأَقْوَمَ وَلَـٰكِن لَّعَنَهُمُ ٱللَّهُ بِكُفْرِهِمْ فَلَا يُؤْمِنُونَ إِلَّا قَلِيلًا 
 Di antara orang-orang Yahudi ada yang mengubah perkataan dari tempat-tempatnya. Mereka berkata, “Kami mendengar, tetapi kami membangkang.” (Mereka mengatakan pula,) “Dengarkanlah,” sedangkan (engkau Nabi Muhammad sebenarnya) tidak mendengar apa pun. (Mereka mengatakan,) rā‘inā[^157] dengan memutarbalikkan lidahnya dan mencela agama. Seandainya mereka mengatakan, “Kami mendengar dan patuh. Dengarkanlah dan perhatikanlah kami,” tentulah itu lebih baik bagi mereka dan lebih tepat. Akan tetapi, Allah melaknat mereka karena kekufurannya. Mereka tidak beriman, kecuali sedikit sekali.  [^157]: Lihat catatan kaki surah al-Baqarah (2): 104. 
[Q.S. An-Nisa (4) : 46]"," Di antara orang-orang Yahudi ada yang mengubah perkataan dari tempat-tempatnya. Mereka berkata, “Kami mendengar, tetapi kami membangkang.” (Mereka mengatakan pula,) “Dengarkanlah,” sedangkan (engkau Nabi Muhammad sebenarnya) tidak mendengar apa pun. (Mereka mengatakan,) rā‘inā[^157] dengan memutarbalikkan lidahnya dan mencela agama. Seandainya mereka mengatakan, “Kami mendengar dan patuh. Dengarkanlah dan perhatikanlah kami,” tentulah itu lebih baik bagi mereka dan lebih tepat. Akan tetapi, Allah melaknat mereka karena kekufurannya. Mereka tidak beriman, kecuali sedikit sekali.  [^157]: Lihat catatan kaki surah al-Baqarah (2): 104. "
" يَـٰٓأَيُّهَا ٱلَّذِينَ أُوتُوا۟ ٱلْكِتَـٰبَ ءَامِنُوا۟ بِمَا نَزَّلْنَا مُصَدِّقًا لِّمَا مَعَكُم مِّن قَبْلِ أَن نَّطْمِسَ وُجُوهًا فَنَرُدَّهَا عَلَىٰٓ أَدْبَارِهَآ أَوْ نَلْعَنَهُمْ كَمَا لَعَنَّآ أَصْحَـٰبَ ٱلسَّبْتِ ۚ وَكَانَ أَمْرُ ٱللَّهِ مَفْعُولًا 
 Wahai orang-orang yang telah diberi Kitab, berimanlah pada apa yang telah Kami turunkan (Al-Qur’an) yang membenarkan Kitab yang ada padamu sebelum Kami mengubah wajah-wajah(-mu), lalu Kami putar ke belakang (sebagai penghinaan) atau Kami laknat mereka sebagaimana Kami melaknat orang-orang (yang berbuat maksiat) pada hari Sabat (Sabtu). Ketetapan Allah (pasti) berlaku. 
[Q.S. An-Nisa (4) : 47]"," Wahai orang-orang yang telah diberi Kitab, berimanlah pada apa yang telah Kami turunkan (Al-Qur’an) yang membenarkan Kitab yang ada padamu sebelum Kami mengubah wajah-wajah(-mu), lalu Kami putar ke belakang (sebagai penghinaan) atau Kami laknat mereka sebagaimana Kami melaknat orang-orang (yang berbuat maksiat) pada hari Sabat (Sabtu). Ketetapan Allah (pasti) berlaku. "
" إِنَّ ٱللَّهَ لَا يَغْفِرُ أَن يُشْرَكَ بِهِۦ وَيَغْفِرُ مَا دُونَ ذَٰلِكَ لِمَن يَشَآءُ ۚ وَمَن يُشْرِكْ بِٱللَّهِ فَقَدِ ٱفْتَرَىٰٓ إِثْمًا عَظِيمًا 
 Sesungguhnya Allah tidak akan mengampuni (dosa) karena mempersekutukan-Nya (syirik), tetapi Dia mengampuni apa (dosa) yang selain (syirik) itu bagi siapa yang Dia kehendaki. Siapa pun yang mempersekutukan Allah sungguh telah berbuat dosa yang sangat besar. 
[Q.S. An-Nisa (4) : 48]"," Sesungguhnya Allah tidak akan mengampuni (dosa) karena mempersekutukan-Nya (syirik), tetapi Dia mengampuni apa (dosa) yang selain (syirik) itu bagi siapa yang Dia kehendaki. Siapa pun yang mempersekutukan Allah sungguh telah berbuat dosa yang sangat besar. "
" أَلَمْ تَرَ إِلَى ٱلَّذِينَ يُزَكُّونَ أَنفُسَهُم ۚ بَلِ ٱللَّهُ يُزَكِّى مَن يَشَآءُ وَلَا يُظْلَمُونَ فَتِيلًا 
 Tidakkah engkau memperhatikan orang-orang yang menganggap dirinya suci? Sebenarnya Allah menyucikan siapa yang Dia kehendaki dan mereka tidak dizalimi sedikit pun. 
[Q.S. An-Nisa (4) : 49]", Tidakkah engkau memperhatikan orang-orang yang menganggap dirinya suci? Sebenarnya Allah menyucikan siapa yang Dia kehendaki dan mereka tidak dizalimi sedikit pun. 
" ٱنظُرْ كَيْفَ يَفْتَرُونَ عَلَى ٱللَّهِ ٱلْكَذِبَ ۖ وَكَفَىٰ بِهِۦٓ إِثْمًا مُّبِينًا 
 Perhatikanlah betapa mereka mengada-adakan kebohongan terhadap Allah. Cukuplah perbuatan itu menjadi dosa yang nyata (bagi mereka). 
[Q.S. An-Nisa (4) : 50]", Perhatikanlah betapa mereka mengada-adakan kebohongan terhadap Allah. Cukuplah perbuatan itu menjadi dosa yang nyata (bagi mereka). 
" أَلَمْ تَرَ إِلَى ٱلَّذِينَ أُوتُوا۟ نَصِيبًا مِّنَ ٱلْكِتَـٰبِ يُؤْمِنُونَ بِٱلْجِبْتِ وَٱلطَّـٰغُوتِ وَيَقُولُونَ لِلَّذِينَ كَفَرُوا۟ هَـٰٓؤُلَآءِ أَهْدَىٰ مِنَ ٱلَّذِينَ ءَامَنُوا۟ سَبِيلًا 
 Tidakkah engkau memperhatikan orang-orang (Yahudi) yang telah diberi bagian (pengetahuan) dari Kitab (Taurat), (betapa) mereka percaya kepada jibt dan tagut[^158] serta mengatakan kepada orang-orang kafir (musyrik Makkah) bahwa mereka itu lebih benar jalannya daripada orang-orang yang beriman.  [^158]: Jibt adalah setan dan apa saja yang disembah selain Allah Swt., sedangkan tagut biasanya disebutkan untuk orang yang keburukannya melampaui batas (lihat catatan kaki surah al-Baqarah \[2\]: 256). 
[Q.S. An-Nisa (4) : 51]"," Tidakkah engkau memperhatikan orang-orang (Yahudi) yang telah diberi bagian (pengetahuan) dari Kitab (Taurat), (betapa) mereka percaya kepada jibt dan tagut[^158] serta mengatakan kepada orang-orang kafir (musyrik Makkah) bahwa mereka itu lebih benar jalannya daripada orang-orang yang beriman.  [^158]: Jibt adalah setan dan apa saja yang disembah selain Allah Swt., sedangkan tagut biasanya disebutkan untuk orang yang keburukannya melampaui batas (lihat catatan kaki surah al-Baqarah \[2\]: 256). "
" أُو۟لَـٰٓئِكَ ٱلَّذِينَ لَعَنَهُمُ ٱللَّهُ ۖ وَمَن يَلْعَنِ ٱللَّهُ فَلَن تَجِدَ لَهُۥ نَصِيرًا 
 Mereka itulah yang dilaknat Allah. Siapa pun yang dilaknat Allah niscaya engkau (Nabi Muhammad) tidak akan mendapat penolong baginya. 
[Q.S. An-Nisa (4) : 52]", Mereka itulah yang dilaknat Allah. Siapa pun yang dilaknat Allah niscaya engkau (Nabi Muhammad) tidak akan mendapat penolong baginya. 
" أَمْ لَهُمْ نَصِيبٌ مِّنَ ٱلْمُلْكِ فَإِذًا لَّا يُؤْتُونَ ٱلنَّاسَ نَقِيرًا 
 Ataukah mereka mempunyai bagian dari kerajaan (kekuasaan)? Meskipun ada, mereka tidak akan memberikan (kebajikan) sedikit pun kepada manusia. 
[Q.S. An-Nisa (4) : 53]"," Ataukah mereka mempunyai bagian dari kerajaan (kekuasaan)? Meskipun ada, mereka tidak akan memberikan (kebajikan) sedikit pun kepada manusia. "
" أَمْ يَحْسُدُونَ ٱلنَّاسَ عَلَىٰ مَآ ءَاتَىٰهُمُ ٱللَّهُ مِن فَضْلِهِۦ ۖ فَقَدْ ءَاتَيْنَآ ءَالَ إِبْرَٰهِيمَ ٱلْكِتَـٰبَ وَٱلْحِكْمَةَ وَءَاتَيْنَـٰهُم مُّلْكًا عَظِيمًا 
 Ataukah mereka dengki kepada manusia karena karunia yang telah dianugerahkan Allah kepadanya? Sungguh, Kami telah menganugerahkan kitab dan hikmah kepada keluarga Ibrahim dan Kami telah menganugerahkan kerajaan (kekuasaan) yang sangat besar kepada mereka. 
[Q.S. An-Nisa (4) : 54]"," Ataukah mereka dengki kepada manusia karena karunia yang telah dianugerahkan Allah kepadanya? Sungguh, Kami telah menganugerahkan kitab dan hikmah kepada keluarga Ibrahim dan Kami telah menganugerahkan kerajaan (kekuasaan) yang sangat besar kepada mereka. "
" فَمِنْهُم مَّنْ ءَامَنَ بِهِۦ وَمِنْهُم مَّن صَدَّ عَنْهُ ۚ وَكَفَىٰ بِجَهَنَّمَ سَعِيرًا 
 Lalu, di antara mereka ada yang beriman kepadanya dan di antara mereka ada pula yang berpaling darinya. Cukuplah (bagi mereka neraka) Jahanam yang apinya menyala-nyala. 
[Q.S. An-Nisa (4) : 55]"," Lalu, di antara mereka ada yang beriman kepadanya dan di antara mereka ada pula yang berpaling darinya. Cukuplah (bagi mereka neraka) Jahanam yang apinya menyala-nyala. "
" إِنَّ ٱلَّذِينَ كَفَرُوا۟ بِـَٔايَـٰتِنَا سَوْفَ نُصْلِيهِمْ نَارًا كُلَّمَا نَضِجَتْ جُلُودُهُم بَدَّلْنَـٰهُمْ جُلُودًا غَيْرَهَا لِيَذُوقُوا۟ ٱلْعَذَابَ ۗ إِنَّ ٱللَّهَ كَانَ عَزِيزًا حَكِيمًا 
 Sesungguhnya orang-orang yang kufur pada ayat-ayat Kami kelak akan Kami masukkan ke dalam neraka. Setiap kali kulit mereka hangus, Kami ganti dengan kulit yang lain agar mereka merasakan (kepedihan) azab. Sesungguhnya Allah Maha Perkasa lagi Maha Bijaksana. 
[Q.S. An-Nisa (4) : 56]"," Sesungguhnya orang-orang yang kufur pada ayat-ayat Kami kelak akan Kami masukkan ke dalam neraka. Setiap kali kulit mereka hangus, Kami ganti dengan kulit yang lain agar mereka merasakan (kepedihan) azab. Sesungguhnya Allah Maha Perkasa lagi Maha Bijaksana. "
" وَٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ سَنُدْخِلُهُمْ جَنَّـٰتٍ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَـٰرُ خَـٰلِدِينَ فِيهَآ أَبَدًا ۖ لَّهُمْ فِيهَآ أَزْوَٰجٌ مُّطَهَّرَةٌ ۖ وَنُدْخِلُهُمْ ظِلًّا ظَلِيلًا 
 Orang-orang yang beriman dan mengerjakan kebajikan akan Kami masukkan ke dalam surga yang mengalir di bawahnya sungai-sungai. Mereka kekal di dalamnya selama-lamanya. Di sana mereka mempunyai pasangan-pasangan yang disucikan dan Kami masukkan mereka ke tempat yang teduh lagi nyaman. 
[Q.S. An-Nisa (4) : 57]", Orang-orang yang beriman dan mengerjakan kebajikan akan Kami masukkan ke dalam surga yang mengalir di bawahnya sungai-sungai. Mereka kekal di dalamnya selama-lamanya. Di sana mereka mempunyai pasangan-pasangan yang disucikan dan Kami masukkan mereka ke tempat yang teduh lagi nyaman. 
" ۞ إِنَّ ٱللَّهَ يَأْمُرُكُمْ أَن تُؤَدُّوا۟ ٱلْأَمَـٰنَـٰتِ إِلَىٰٓ أَهْلِهَا وَإِذَا حَكَمْتُم بَيْنَ ٱلنَّاسِ أَن تَحْكُمُوا۟ بِٱلْعَدْلِ ۚ إِنَّ ٱللَّهَ نِعِمَّا يَعِظُكُم بِهِۦٓ ۗ إِنَّ ٱللَّهَ كَانَ سَمِيعًۢا بَصِيرًا 
 Sesungguhnya Allah menyuruh kamu menyampaikan amanah kepada pemiliknya. Apabila kamu menetapkan hukum di antara manusia, hendaklah kamu tetapkan secara adil. Sesungguhnya Allah memberi pengajaran yang paling baik kepadamu. Sesungguhnya Allah Maha Mendengar lagi Maha Melihat. 
[Q.S. An-Nisa (4) : 58]"," Sesungguhnya Allah menyuruh kamu menyampaikan amanah kepada pemiliknya. Apabila kamu menetapkan hukum di antara manusia, hendaklah kamu tetapkan secara adil. Sesungguhnya Allah memberi pengajaran yang paling baik kepadamu. Sesungguhnya Allah Maha Mendengar lagi Maha Melihat. "
" يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓا۟ أَطِيعُوا۟ ٱللَّهَ وَأَطِيعُوا۟ ٱلرَّسُولَ وَأُو۟لِى ٱلْأَمْرِ مِنكُمْ ۖ فَإِن تَنَـٰزَعْتُمْ فِى شَىْءٍ فَرُدُّوهُ إِلَى ٱللَّهِ وَٱلرَّسُولِ إِن كُنتُمْ تُؤْمِنُونَ بِٱللَّهِ وَٱلْيَوْمِ ٱلْـَٔاخِرِ ۚ ذَٰلِكَ خَيْرٌ وَأَحْسَنُ تَأْوِيلًا 
 Wahai orang-orang yang beriman, taatilah Allah dan taatilah Rasul (Nabi Muhammad) serta ululamri (pemegang kekuasaan) di antara kamu. Jika kamu berbeda pendapat tentang sesuatu, kembalikanlah kepada Allah (Al-Qur’an) dan Rasul (sunahnya) jika kamu beriman kepada Allah dan hari Akhir. Yang demikian itu lebih baik (bagimu) dan lebih bagus akibatnya (di dunia dan di akhirat). 
[Q.S. An-Nisa (4) : 59]"," Wahai orang-orang yang beriman, taatilah Allah dan taatilah Rasul (Nabi Muhammad) serta ululamri (pemegang kekuasaan) di antara kamu. Jika kamu berbeda pendapat tentang sesuatu, kembalikanlah kepada Allah (Al-Qur’an) dan Rasul (sunahnya) jika kamu beriman kepada Allah dan hari Akhir. Yang demikian itu lebih baik (bagimu) dan lebih bagus akibatnya (di dunia dan di akhirat). "
" أَلَمْ تَرَ إِلَى ٱلَّذِينَ يَزْعُمُونَ أَنَّهُمْ ءَامَنُوا۟ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ يُرِيدُونَ أَن يَتَحَاكَمُوٓا۟ إِلَى ٱلطَّـٰغُوتِ وَقَدْ أُمِرُوٓا۟ أَن يَكْفُرُوا۟ بِهِۦ وَيُرِيدُ ٱلشَّيْطَـٰنُ أَن يُضِلَّهُمْ ضَلَـٰلًۢا بَعِيدًا 
 Tidakkah engkau (Nabi Muhammad) memperhatikan orang-orang yang mengaku bahwa mereka telah beriman pada apa yang diturunkan kepadamu (Al-Qur’an) dan pada apa yang diturunkan sebelummu? Mereka hendak bertahkim kepada tagut, padahal mereka telah diperintahkan untuk mengingkarinya. Setan bermaksud menyesatkan mereka (dengan) kesesatan yang sangat jauh. 
[Q.S. An-Nisa (4) : 60]"," Tidakkah engkau (Nabi Muhammad) memperhatikan orang-orang yang mengaku bahwa mereka telah beriman pada apa yang diturunkan kepadamu (Al-Qur’an) dan pada apa yang diturunkan sebelummu? Mereka hendak bertahkim kepada tagut, padahal mereka telah diperintahkan untuk mengingkarinya. Setan bermaksud menyesatkan mereka (dengan) kesesatan yang sangat jauh. "
" وَإِذَا قِيلَ لَهُمْ تَعَالَوْا۟ إِلَىٰ مَآ أَنزَلَ ٱللَّهُ وَإِلَى ٱلرَّسُولِ رَأَيْتَ ٱلْمُنَـٰفِقِينَ يَصُدُّونَ عَنكَ صُدُودًا 
 Apabila dikatakan kepada mereka, “Marilah (patuh) pada apa yang telah diturunkan Allah dan (patuh) kepada Rasul,” engkau (Nabi Muhammad) melihat orang-orang munafik benar-benar berpaling darimu. 
[Q.S. An-Nisa (4) : 61]"," Apabila dikatakan kepada mereka, “Marilah (patuh) pada apa yang telah diturunkan Allah dan (patuh) kepada Rasul,” engkau (Nabi Muhammad) melihat orang-orang munafik benar-benar berpaling darimu. "
" فَكَيْفَ إِذَآ أَصَـٰبَتْهُم مُّصِيبَةٌۢ بِمَا قَدَّمَتْ أَيْدِيهِمْ ثُمَّ جَآءُوكَ يَحْلِفُونَ بِٱللَّهِ إِنْ أَرَدْنَآ إِلَّآ إِحْسَـٰنًا وَتَوْفِيقًا 
 Bagaimana halnya apabila (kelak) musibah menimpa mereka (orang munafik) karena perbuatannya sendiri. Kemudian, mereka datang kepadamu (Nabi Muhammad) sambil bersumpah, “Demi Allah, kami sekali-kali tidak menghendaki selain kebaikan dan perdamaian.” 
[Q.S. An-Nisa (4) : 62]"," Bagaimana halnya apabila (kelak) musibah menimpa mereka (orang munafik) karena perbuatannya sendiri. Kemudian, mereka datang kepadamu (Nabi Muhammad) sambil bersumpah, “Demi Allah, kami sekali-kali tidak menghendaki selain kebaikan dan perdamaian.” "
" أُو۟لَـٰٓئِكَ ٱلَّذِينَ يَعْلَمُ ٱللَّهُ مَا فِى قُلُوبِهِمْ فَأَعْرِضْ عَنْهُمْ وَعِظْهُمْ وَقُل لَّهُمْ فِىٓ أَنفُسِهِمْ قَوْلًۢا بَلِيغًا 
 Mereka itulah orang-orang yang Allah ketahui apa yang ada di dalam hatinya. Oleh karena itu, berpalinglah dari mereka, nasihatilah mereka, dan katakanlah kepada mereka perkataan yang membekas pada jiwanya. 
[Q.S. An-Nisa (4) : 63]"," Mereka itulah orang-orang yang Allah ketahui apa yang ada di dalam hatinya. Oleh karena itu, berpalinglah dari mereka, nasihatilah mereka, dan katakanlah kepada mereka perkataan yang membekas pada jiwanya. "
" وَمَآ أَرْسَلْنَا مِن رَّسُولٍ إِلَّا لِيُطَاعَ بِإِذْنِ ٱللَّهِ ۚ وَلَوْ أَنَّهُمْ إِذ ظَّلَمُوٓا۟ أَنفُسَهُمْ جَآءُوكَ فَٱسْتَغْفَرُوا۟ ٱللَّهَ وَٱسْتَغْفَرَ لَهُمُ ٱلرَّسُولُ لَوَجَدُوا۟ ٱللَّهَ تَوَّابًا رَّحِيمًا 
 Kami tidak mengutus seorang rasul pun, kecuali untuk ditaati dengan izin Allah. Seandainya mereka (orang-orang munafik) setelah menzalimi dirinya datang kepadamu (Nabi Muhammad), lalu memohon ampunan kepada Allah, dan Rasul pun memohonkan ampunan untuk mereka, niscaya mereka mendapati Allah Maha Penerima tobat lagi Maha Penyayang. 
[Q.S. An-Nisa (4) : 64]"," Kami tidak mengutus seorang rasul pun, kecuali untuk ditaati dengan izin Allah. Seandainya mereka (orang-orang munafik) setelah menzalimi dirinya datang kepadamu (Nabi Muhammad), lalu memohon ampunan kepada Allah, dan Rasul pun memohonkan ampunan untuk mereka, niscaya mereka mendapati Allah Maha Penerima tobat lagi Maha Penyayang. "
" فَلَا وَرَبِّكَ لَا يُؤْمِنُونَ حَتَّىٰ يُحَكِّمُوكَ فِيمَا شَجَرَ بَيْنَهُمْ ثُمَّ لَا يَجِدُوا۟ فِىٓ أَنفُسِهِمْ حَرَجًا مِّمَّا قَضَيْتَ وَيُسَلِّمُوا۟ تَسْلِيمًا 
 Demi Tuhanmu, mereka tidak beriman hingga bertahkim kepadamu (Nabi Muhammad) dalam perkara yang diperselisihkan di antara mereka. Kemudian, tidak ada keberatan dalam diri mereka terhadap putusan yang engkau berikan dan mereka terima dengan sepenuhnya. 
[Q.S. An-Nisa (4) : 65]"," Demi Tuhanmu, mereka tidak beriman hingga bertahkim kepadamu (Nabi Muhammad) dalam perkara yang diperselisihkan di antara mereka. Kemudian, tidak ada keberatan dalam diri mereka terhadap putusan yang engkau berikan dan mereka terima dengan sepenuhnya. "
" وَلَوْ أَنَّا كَتَبْنَا عَلَيْهِمْ أَنِ ٱقْتُلُوٓا۟ أَنفُسَكُمْ أَوِ ٱخْرُجُوا۟ مِن دِيَـٰرِكُم مَّا فَعَلُوهُ إِلَّا قَلِيلٌ مِّنْهُمْ ۖ وَلَوْ أَنَّهُمْ فَعَلُوا۟ مَا يُوعَظُونَ بِهِۦ لَكَانَ خَيْرًا لَّهُمْ وَأَشَدَّ تَثْبِيتًا 
 Seandainya Kami perintahkan kepada mereka (orang-orang munafik), “Bunuhlah dirimu atau keluarlah kamu dari kampung halamanmu,” niscaya mereka tidak akan melakukannya, kecuali sebagian kecil dari mereka. Seandainya mereka melaksanakan pengajaran yang diberikan kepada mereka, sungguh itu lebih baik bagi mereka dan lebih menguatkan (iman mereka). 
[Q.S. An-Nisa (4) : 66]"," Seandainya Kami perintahkan kepada mereka (orang-orang munafik), “Bunuhlah dirimu atau keluarlah kamu dari kampung halamanmu,” niscaya mereka tidak akan melakukannya, kecuali sebagian kecil dari mereka. Seandainya mereka melaksanakan pengajaran yang diberikan kepada mereka, sungguh itu lebih baik bagi mereka dan lebih menguatkan (iman mereka). "
" وَإِذًا لَّـَٔاتَيْنَـٰهُم مِّن لَّدُنَّآ أَجْرًا عَظِيمًا 
 Jika demikian (halnya), pasti Kami anugerahkan kepada mereka dari sisi Kami pahala yang sangat besar 
[Q.S. An-Nisa (4) : 67]"," Jika demikian (halnya), pasti Kami anugerahkan kepada mereka dari sisi Kami pahala yang sangat besar "
" وَلَهَدَيْنَـٰهُمْ صِرَٰطًا مُّسْتَقِيمًا 
 dan pasti Kami tunjukkan kepada mereka jalan yang lurus. 
[Q.S. An-Nisa (4) : 68]", dan pasti Kami tunjukkan kepada mereka jalan yang lurus. 
